Symbol,Units,Security Type,IPO Date,Exchange,Market Cap,Meger Pending?,Close,Shares,Expiration,Yield*
SEDA,SDCL EDGE Acquisition Corporation Class A,Common stocks,12/20/2021,New York Stock Exchange,"$195,153,601 ",N,9.76,"19,995,246",5/19/2022,#DIV/0!
PEGR,Project Energy Reimagined Acquisition Corp. Class A,Common stocks,12/20/2021,NASDAQ Global Market,"$257,709,738 ",N,9.77,"26,377,660",5/19/2022,#DIV/0!
OHAA,OPY Acquisition Corp. I - Class A,Common stocks,12/20/2021,NASDAQ Global Market,"$124,476,000 ",N,9.84,"12,650,000",5/19/2022,#DIV/0!
FIAC,Focus Impact Acquisition Corp. Class A,Common stocks,12/20/2021,NASDAQ Global Market,"$227,930,000 ",N,9.91,"23,000,000",5/19/2022,#DIV/0!
SCMA,Seaport Calibre Materials Acquisition Corp. Class A,Common stocks,12/20/2021,NASDAQ Global Market,"$129,350,000 ",N,9.95,"13,000,000",5/19/2022,#DIV/0!
PCCT,Perception Capital Corp. II Class A,Common stocks,12/20/2021,NASDAQ Global Market,"$230,460,000 ",N,10.02,"23,000,000",5/19/2022,#DIV/0!
GFGDR,The Growth for Good Acquisition Corporation Right,Common stocks,1/31/2022,NASDAQ Global Market,"$252,648,000 ",N,0.14,"1,804,628,571",6/30/2022,60367.347%
AXAC^,AXIOS Sustainable Growth Acquisition Corporation Rights to receive one-tenth (1/10) of one Class A,Common stocks,3/25/2022,New York Stock Exchange,$0 ,N,0.11,0,8/22/2022,34070.813%
GAQ+,"Generation Asia I Acquisition Limited Redeemable Warrants included as part of the units, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50",Units,3/14/2022,New York Stock Exchange,"$216,010,500 ",N,0.21,"1,028,131,842",8/11/2022,19979.592%
DWAC,Digital World Acquisition Corp. Class A,Common stocks,9/30/2021,NASDAQ Global Market,"$1,387,558,483 ",Y,44.67,"30,027,234",2/27/2022,344.949%
LGTO,Legato Merger Corp. II,Common stocks,12/22/2021,NASDAQ Global Market,"$355,518,900 ",N,9.9,"35,911,000",5/21/2022,181.818%
GLLI,Globalink Investment Inc.,Common stocks,12/23/2021,NASDAQ Global Market,"$147,806,050 ",N,9.89,"14,945,000",5/22/2022,133.468%
SVNA,7 Acquisition Corporation - Class A,Common stocks,12/23/2021,NASDAQ Global Market,"$227,700,000 ",N,9.91,"23,000,000",5/22/2022,108.981%
PCPC,Periphas Capital Partnering Corporation Class A,Common stocks,2/1/2021,New York Stock Exchange,"$352,080,000 ",N,24.45,"14,400,000",7/1/2021,66.075%
CNDB,Concord Acquisition Corp III,Common stocks,12/27/2021,New York Stock Exchange,"$341,550,000 ",N,9.89,"34,500,000",5/26/2022,57.201%
NPAB,New Providence Acquisition Corp. II Class A,Common stocks,12/27/2021,NASDAQ Global Market,"$247,500,000 ",N,9.9,"25,000,000",5/26/2022,51.948%
JUN,Juniper II Corp. Class A,Common stocks,12/23/2021,New York Stock Exchange,"$296,010,000 ",N,9.96,"29,900,000",5/22/2022,48.193%
BLEU,bleuacacia ltd Class A,Common stocks,1/10/2022,NASDAQ Global Market,"$269,100,000 ",N,9.75,"27,600,000",6/9/2022,43.956%
ROCL,Roth CH Acquisition V Co.,Common stocks,1/5/2022,NASDAQ Global Market,"$145,620,248 ",N,9.82,"14,836,500",6/4/2022,41.242%
PSTH,"Pershing Square Tontine Holdings, Ltd. Class A",Common stocks,9/11/2020,New York Stock Exchange,"$3,968,000,000 ",N,19.83,"200,000,000",2/8/2021,38.378%
ROC,ROC Energy Acquisition Corp.,Common stocks,12/29/2021,NASDAQ Global Market,"$266,361,920 ",N,9.91,"26,851,000",5/28/2022,36.327%
TRAQ,Trine II Acquisition Corp. Class A,Common stocks,12/27/2021,New York Stock Exchange,"$411,102,000 ",N,9.93,"41,400,000",5/26/2022,36.254%
ADAL,Anthemis Digital Acquisitions I Corp Class A,Common stocks,12/27/2021,NASDAQ Global Market,"$228,620,000 ",N,9.94,"23,000,000",5/26/2022,31.043%
RRAC,Rigel Resource Acquisition Corp. Class A,Common stocks,12/27/2021,New York Stock Exchange,"$297,600,000 ",N,9.94,"30,000,000",5/26/2022,31.043%
RCFA,RCF Acquisition Corp.,Common stocks,12/31/2021,New York Stock Exchange,"$227,930,000 ",N,9.91,"23,000,000",5/30/2022,29.722%
NFNT,Infinite Acquisition Corp.,Common stocks,1/10/2022,New York Stock Exchange,"$271,308,000 ",N,9.83,"27,600,000",6/9/2022,29.647%
ZING,FTAC Zeus Acquisition Corp. Class A,Common stocks,1/10/2022,NASDAQ Global Market,"$413,142,613 ",N,9.83,"42,028,750",6/9/2022,29.647%
GFGD,The Growth for Good Acquisition Corporation Class A,Common stocks,1/31/2022,NASDAQ Global Market,"$252,648,000 ",N,9.68,"26,100,000",6/30/2022,28.335%
TCOA,Trajectory Alpha Acquisition Corp. Class A,Common stocks,1/31/2022,New York Stock Exchange,"$169,222,500 ",N,9.73,"17,250,000",6/30/2022,23.785%
HLXA,Helix Acquisition Corp. - Class A,Common stocks,10/20/2020,NASDAQ Capital Market,$0 ,Y,13.25,0,3/19/2021,20.728%
LIBY,Liberty Resources Acquisition Corp. Class A,Common stocks,12/27/2021,NASDAQ Global Market,"$120,062,145 ",N,9.96,"12,030,275",5/26/2022,20.654%
MPRA,Mercato Partners Acquisition Corporation Class A,Common stocks,12/27/2021,NASDAQ Global Market,"$229,080,000 ",N,9.96,"23,000,000",5/26/2022,20.654%
SHCA,Spindletop Health Acquisition Corp. Class A,Common stocks,12/27/2021,NASDAQ Global Market,"$199,450,454 ",N,9.96,"20,025,146",5/26/2022,20.654%
SCRM,Screaming Eagle Acquisition Corp. Class A,Common stocks,2/28/2022,NASDAQ Global Market,"$722,625,000 ",N,9.64,"75,000,000",7/28/2022,19.206%
IGTA,Inception Growth Acquisition Limited,Common stocks,1/21/2022,NASDAQ Global Market,"$127,926,875 ",N,9.84,"12,987,500",6/20/2022,18.293%
GAQ,Generation Asia I Acquisition Limited Class A,Common stocks,1/19/2022,New York Stock Exchange,"$216,010,500 ",N,9.85,"21,930,000",6/18/2022,18.274%
CCTS,Cactus Acquisition Corp. 1 Limited - Class A,Common stocks,12/30/2021,NASDAQ Global Market,"$125,867,500 ",N,9.95,"12,650,000",5/29/2022,18.090%
DPCS,DP Cap Acquisition Corp I - Class A,Common stocks,12/30/2021,NASDAQ Global Market,"$228,854,600 ",N,9.95,"23,000,000",5/29/2022,18.090%
LGVC,LAMF Global Ventures Corp. I Class A,Common stocks,12/30/2021,NASDAQ Global Market,"$262,739,700 ",N,9.95,"26,406,000",5/29/2022,18.090%
EMLD,FTAC Emerald Acquisition Corp. Class A,Common stocks,2/7/2022,NASDAQ Global Market,"$251,475,966 ",N,9.76,"25,845,423",7/7/2022,18.066%
XPDB,Power & Digital Infrastructure Acquisition II Corp. Class A,Common stocks,1/31/2022,NASDAQ Global Market,"$281,175,000 ",N,9.8,"28,750,000",6/30/2022,17.493%
RCAC,Revelstone Capital Acquisition Corp. Class A,Common stocks,2/7/2022,NASDAQ Global Market,"$161,205,000 ",N,9.77,"16,500,000",7/7/2022,17.296%
IVCP,Swiftmerge Acquisition Corp. Class A Ordinary Share,Common stocks,2/3/2022,NASDAQ Global Market,"$220,500,000 ",N,9.79,"22,500,000",7/3/2022,17.160%
ATEK,Athena Technology Acquisition Corp. II Class A,Common stocks,1/28/2022,New York Stock Exchange,"$258,458,807 ",N,9.82,"26,328,750",6/27/2022,16.920%
BCSA,Blockchain Coinvestors Acquisition Corp. I - Class A,Common stocks,12/31/2021,NASDAQ Global Market,"$311,967,120 ",N,9.95,"31,322,000",5/30/2022,16.446%
BRD,Beard Energy Transition Acquisition Corp. Class A,Common stocks,1/14/2022,New York Stock Exchange,"$227,482,363 ",N,9.89,"23,001,250",6/13/2022,16.016%
PACI,PROOF Acquisition Corp I,Common stocks,1/21/2022,New York Stock Exchange,"$272,136,000 ",N,9.86,"27,600,000",6/20/2022,15.974%
DAOO,Crypto 1 Acquisition Corp Class A,Common stocks,1/12/2022,NASDAQ Global Market,"$227,700,000 ",N,9.9,"23,000,000",6/11/2022,15.810%
IRRX,Integrated Rail and Resources Acquisition Corp.,Common stocks,1/3/2022,New York Stock Exchange,"$228,850,000 ",N,9.94,"23,000,000",6/2/2022,15.522%
MTVC,Motive Capital Corp II Class A,Common stocks,1/27/2022,New York Stock Exchange,"$336,253,823 ",N,9.85,"34,137,444",6/26/2022,14.427%
JWAC,Jupiter Wellness Acquisition Corp. Class A,Common stocks,1/7/2022,NASDAQ Global Market,"$146,020,650 ",N,9.93,"14,705,000",6/6/2022,14.099%
FXCO,Financial Strategies Acquisition Corp. Class A,Common stocks,1/10/2022,NASDAQ Global Market,"$107,966,304 ",N,9.92,"10,883,700",6/9/2022,13.825%
NVAC,NorthView Acquisition Corporation,Common stocks,1/24/2022,NASDAQ Global Market,"$238,545,563 ",N,9.87,"24,168,750",6/23/2022,13.548%
STET,ST Energy Transition I Ltd.,Common stocks,1/24/2022,New York Stock Exchange,"$283,762,500 ",N,9.87,"28,750,000",6/23/2022,13.548%
TWNT,Tailwind Two Acquisition Corp. Class A,Common stocks,4/23/2021,New York Stock Exchange,$0 ,Y,10.96,0,9/20/2021,13.084%
MAAQ,Mana Capital Acquisition Corp.,Common stocks,1/14/2022,NASDAQ Global Market,"$80,518,750 ",N,9.91,"8,125,000",6/13/2022,13.078%
WTMA,Welsbach Technology Metals Acquisition Corp.,Common stocks,1/21/2022,NASDAQ Global Market,"$98,815,104 ",N,9.89,"10,011,662",6/20/2022,12.513%
KYCH,Keyarch Acquisition Corporation,Common stocks,3/2/2022,NASDAQ Global Market,"$117,438,750 ",N,9.76,"12,045,000",7/30/2022,12.295%
ZNTE,Zanite Acquisition Corp. - Class A,Common stocks,1/7/2021,NASDAQ Capital Market,$0 ,Y,11.32,"23,000,000",6/6/2021,12.098%
GDNR,Gardiner Healthcare Acquisitions Corp.,Common stocks,1/13/2022,NASDAQ Global Market,"$106,950,000 ",N,9.92,"10,781,250",6/12/2022,12.097%
MLAI,McLaren Technology Acquisition Corp. Class A,Common stocks,12/23/2021,NASDAQ Global Market,"$200,847,500 ",N,9.99,"20,125,000",5/22/2022,12.012%
LVAC,LAVA Medtech Acquisition Corp. Class A,Common stocks,12/17/2021,NASDAQ Global Market,"$115,115,000 ",N,10.01,"11,500,000",5/16/2022,11.988%
USCT,TKB Critical Technologies 1 Class A,Common stocks,12/17/2021,NASDAQ Global Market,"$230,460,000 ",N,10.01,"23,000,000",5/16/2022,11.988%
KNSW,KnightSwan Acquisition Corporation,Common stocks,1/20/2022,New York Stock Exchange,"$227,700,000 ",N,9.9,"23,000,000",6/19/2022,11.730%
CFVI,CF Acquisition Corp. VI Class A,Common stocks,4/12/2021,NASDAQ Capital Market,"$337,393,000 ",Y,10.85,"30,700,000",9/9/2021,11.192%
OTRA,OTR Acquisition Corp. - Class A,Common stocks,12/15/2020,NASDAQ Capital Market,"$109,065,637 ",N,11.23,"10,630,179",5/14/2021,10.657%
KACL,Kairous Acquisition Corp. Limited,Common stocks,1/20/2022,NASDAQ Global Market,"$100,548,277 ",N,9.91,"10,146,143",6/19/2022,10.547%
BFAC,Battery Future Acquisition Corp.,Common stocks,2/3/2022,New York Stock Exchange,"$340,515,000 ",N,9.87,"34,500,000",7/3/2022,10.537%
HAIA,Healthcare AI Acquisition Corp. Class A,Common stocks,1/31/2022,NASDAQ Global Market,"$213,899,018 ",N,9.88,"21,562,401",6/30/2022,10.411%
BOCN,Blue Ocean Acquisition Corp - Class A,Common stocks,1/24/2022,NASDAQ Global Market,"$187,662,750 ",N,9.9,"18,975,000",6/23/2022,10.390%
CREC,Crescera Capital Acquisition Corp Class A,Common stocks,1/10/2022,NASDAQ Global Market,"$200,042,500 ",N,9.94,"20,125,000",6/9/2022,10.348%
SUAC,ShoulderUp Technology Acquisition Corp. Class A,Common stocks,1/10/2022,New York Stock Exchange,"$311,619,000 ",N,9.94,"31,350,000",6/9/2022,10.348%
IQMD,Intelligent Medicine Acquisition Corp. Class A,Common stocks,12/27/2021,NASDAQ Global Market,"$206,586,000 ",N,9.98,"20,700,000",5/26/2022,10.306%
FLYA,SOAR Technology Acquisition Corp. Class A,Common stocks,11/8/2021,New York Stock Exchange,"$232,530,000 ",N,10.12,"23,000,000",4/7/2022,10.164%
AFAC,Arena Fortify Acquisition Corp. Class A,Common stocks,12/31/2021,NASDAQ Global Market,"$171,982,500 ",N,9.97,"17,250,000",5/30/2022,9.848%
CSLM,"Consilium Acquisition Corp I, Ltd. Class A Ordinary Share",Common stocks,3/7/2022,NASDAQ Global Market,"$185,575,500 ",N,9.8,"18,975,000",8/4/2022,9.541%
